Area,Size_sqft,Bedrooms,Bathrooms,Amenities,Furnishing,View,Developer,YearBuilt,ParkingSpaces,AnnualRent,PropertyValuation,PropertyType
Palm Jumeirah,1916,1,2,"Parking, Gym, Balcony, Security",Furnished,Sea,Nakheel,2023,2,111988,2249700,Apartment
Business Bay,3834,4,3,"Balcony, Pool, Smart Home, Kids Area, Maid Room",Furnished,Street,Nakheel,2002,2,221074,5310443,Villa
The Springs,1648,2,1,"Kids Area, Parking, Balcony, Maid Room, Pool, Smart Home",Semi-Furnished,Park,Damac,2004,1,86345,2066210,Apartment
Downtown,1353,2,2,"Kids Area, Balcony, Parking, Security",Furnished,None,Nakheel,2018,3,79760,1872556,Apartment
Palm Jumeirah,2243,4,4,"Security, Gym, Kids Area, Balcony, Pool, Maid Room",Semi-Furnished,Street,Azizi,2007,3,264044,3916844,Townhouse
JVC,490,1,1,"Pet Friendly, Maid Room, Balcony",Unfurnished,Sea,Sobha,2015,1,23507,375571,Apartment
The Springs,2071,3,3,"Pool, Gym, Balcony, Kids Area",Semi-Furnished,Park,Meraas,2014,3,130524,3204430,Townhouse
Palm Jumeirah,683,3,3,"Kids Area, Smart Home, Maid Room, Pet Friendly",Furnished,Sea,Sobha,2022,2,37562,768194,Apartment
JLT,5008,4,5,"Kids Area, Gym, Security",Unfurnished,City,Emaar,2003,2,341912,5837279,Villa
Arabian Ranches,1727,3,4,"Maid Room, Balcony, Pool",Semi-Furnished,Park,Azizi,2003,3,127485,1869986,Apartment
Business Bay,5616,4,4,"Security, Pet Friendly, Parking, Gym, Kids Area",Semi-Furnished,City,Sobha,2015,3,325453,7450649,Villa
JLT,1153,3,4,"Balcony, Smart Home, Gym",Furnished,Street,Nakheel,2009,1,43835,907978,Apartment
Downtown,818,3,4,"Security, Pet Friendly, Kids Area",Unfurnished,Park,Sobha,2011,2,51214,863062,Apartment
JLT,445,1,2,"Pet Friendly, Kids Area, Smart Home, Maid Room, Parking",Semi-Furnished,None,Meraas,2022,3,32613,611219,Apartment
JLT,1027,1,1,"Smart Home, Kids Area, Parking, Gym",Furnished,City,Damac,2014,1,55006,1227166,Apartment
JLT,759,3,4,"Parking, Balcony, Gym, Pet Friendly",Semi-Furnished,None,Nakheel,2014,2,34882,755764,Apartment
JVC,3908,4,4,"Maid Room, Parking, Security, Smart Home, Gym, Pet Friendly",Semi-Furnished,Street,Nakheel,2014,2,258192,3736256,Villa
Arabian Ranches,3710,6,6,"Smart Home, Kids Area, Maid Room, Gym",Unfurnished,Street,Emaar,2004,3,246806,5012061,Villa
The Springs,3402,6,6,"Kids Area, Gym, Security",Unfurnished,Park,Azizi,2016,1,338979,5379525,Villa
Business Bay,1502,2,3,"Maid Room, Pet Friendly, Pool",Semi-Furnished,City,Azizi,2019,3,146948,2184992,Apartment
Arabian Ranches,1866,2,2,"Kids Area, Gym, Parking, Pet Friendly, Maid Room, Security",Semi-Furnished,None,Emaar,2006,3,163800,2631515,Apartment
The Springs,2391,2,3,"Pet Friendly, Parking, Maid Room, Security, Kids Area, Gym",Furnished,Park,Damac,2015,3,179347,4271852,Townhouse
The Springs,1238,3,3,"Parking, Smart Home, Kids Area, Security, Pool, Pet Friendly",Furnished,Street,Damac,2017,2,58854,908427,Apartment
JLT,1915,2,1,"Gym, Parking, Smart Home",Semi-Furnished,Street,Emaar,2020,3,142214,2708095,Apartment
Palm Jumeirah,3120,2,1,"Security, Smart Home, Gym",Unfurnished,City,Azizi,2015,3,184100,3856533,Townhouse
Palm Jumeirah,3475,2,2,"Security, Parking, Maid Room",Furnished,Park,Damac,2014,3,145960,3250853,Townhouse
JLT,1703,2,1,"Security, Pool, Maid Room, Smart Home, Kids Area",Furnished,None,Nakheel,2017,2,154281,2380716,Apartment
JLT,1829,3,3,"Maid Room, Kids Area, Pet Friendly",Furnished,Sea,Nakheel,2016,2,99607,1826094,Apartment
Arabian Ranches,2133,2,1,"Maid Room, Balcony, Pet Friendly, Pool",Unfurnished,None,Meraas,2016,3,197021,3226263,Townhouse
Dubai Marina,556,1,1,"Smart Home, Kids Area, Parking",Unfurnished,City,Nakheel,2014,3,42974,621884,Apartment
Downtown,2617,3,2,"Parking, Balcony, Maid Room, Pool",Furnished,Park,Emaar,2013,3,177327,4090432,Villa
JVC,5602,6,5,"Pool, Gym, Pet Friendly, Kids Area",Unfurnished,None,Emaar,2015,1,395274,9571181,Villa
JLT,5590,3,2,"Balcony, Parking, Kids Area, Smart Home",Furnished,Sea,Nakheel,2023,2,493040,9775745,Villa
Downtown,3399,4,5,"Maid Room, Pool, Gym, Security",Furnished,None,Nakheel,2022,1,270771,5996732,Townhouse
JVC,2002,2,3,"Kids Area, Parking, Balcony, Maid Room, Gym, Pool",Semi-Furnished,Street,Sobha,2006,3,89250,2057163,Townhouse
Arabian Ranches,625,3,2,"Kids Area, Security, Smart Home, Maid Room, Gym, Pet Friendly",Semi-Furnished,Street,Emaar,2012,2,41347,665972,Apartment
Palm Jumeirah,1234,2,2,"Pool, Smart Home, Kids Area, Parking",Furnished,Sea,Meraas,2015,3,51421,967625,Apartment
Dubai Marina,1208,2,3,"Parking, Pool, Maid Room",Furnished,City,Nakheel,2019,2,62813,964237,Apartment
Palm Jumeirah,1861,3,4,"Pet Friendly, Kids Area, Balcony, Smart Home, Security",Semi-Furnished,Street,Azizi,2008,1,105771,2446097,Apartment
JLT,872,3,2,"Pool, Gym, Pet Friendly",Furnished,Street,Meraas,2000,1,52969,877324,Apartment
Downtown,1676,1,1,"Smart Home, Balcony, Parking, Kids Area, Maid Room, Security",Unfurnished,City,Azizi,2010,3,130715,1906108,Apartment
JVC,2043,3,3,"Pet Friendly, Smart Home, Balcony, Gym, Kids Area",Furnished,None,Meraas,2024,2,154622,3441842,Townhouse
The Springs,1865,2,2,"Smart Home, Maid Room, Balcony",Unfurnished,Park,Azizi,2001,2,98055,1698479,Apartment
The Springs,3944,5,5,"Gym, Maid Room, Pool",Semi-Furnished,City,Meraas,2018,1,362699,6173125,Villa
The Springs,1106,2,2,"Gym, Balcony, Pool, Pet Friendly, Parking",Unfurnished,Sea,Meraas,2002,2,39478,875484,Apartment
Arabian Ranches,1747,2,3,"Security, Gym, Kids Area, Balcony, Maid Room, Smart Home",Semi-Furnished,Street,Azizi,2012,2,129982,2023080,Apartment
Dubai Marina,3343,5,5,"Parking, Security, Maid Room, Balcony, Pool",Semi-Furnished,Sea,Azizi,2006,2,174193,3560813,Villa
The Springs,3079,4,3,"Kids Area, Security, Gym",Unfurnished,None,Sobha,2013,1,149427,3532587,Townhouse
JLT,1014,2,3,"Balcony, Pet Friendly, Maid Room, Parking, Security",Unfurnished,Street,Meraas,2024,3,34730,856303,Apartment
Downtown,836,3,4,"Security, Pet Friendly, Maid Room, Kids Area, Gym, Pool",Semi-Furnished,Street,Nakheel,2007,1,68281,1084414,Apartment
The Springs,531,3,2,"Security, Maid Room, Kids Area, Pool, Parking, Pet Friendly",Semi-Furnished,Park,Emaar,2004,1,24507,383468,Apartment
JLT,1546,2,2,"Balcony, Parking, Smart Home",Furnished,Sea,Damac,2008,3,104615,1763313,Apartment
JVC,2795,2,1,"Kids Area, Security, Pet Friendly",Furnished,Street,Damac,2021,3,244563,4711585,Townhouse
Downtown,1569,3,4,"Maid Room, Security, Balcony",Furnished,Park,Azizi,2003,2,86963,1511619,Apartment
The Springs,3323,2,2,"Parking, Pool, Smart Home, Pet Friendly",Semi-Furnished,Street,Sobha,2008,3,159289,2844240,Townhouse
Dubai Marina,1267,2,3,"Security, Parking, Smart Home, Balcony",Unfurnished,City,Damac,2000,3,108603,1866853,Apartment
JVC,5730,4,4,"Security, Kids Area, Pet Friendly, Smart Home, Gym, Pool",Semi-Furnished,Street,Emaar,2012,2,429515,6308089,Villa
Business Bay,728,2,3,"Pet Friendly, Gym, Parking, Smart Home, Balcony",Semi-Furnished,Street,Damac,2022,2,65913,1020225,Apartment
Downtown,4573,3,3,"Maid Room, Kids Area, Balcony, Smart Home, Gym, Security",Unfurnished,Park,Meraas,2014,3,222683,4280749,Villa
JLT,568,1,1,"Maid Room, Parking, Pet Friendly, Security",Unfurnished,Street,Damac,2014,2,34963,794521,Apartment
Downtown,5886,5,5,"Pool, Pet Friendly, Parking, Maid Room",Semi-Furnished,Street,Azizi,2007,1,696522,10289370,Villa
Business Bay,2747,2,2,"Gym, Pet Friendly, Security, Balcony",Unfurnished,City,Nakheel,2002,2,151946,2664927,Townhouse
JVC,4282,6,7,"Pool, Balcony, Kids Area, Maid Room, Pet Friendly, Parking",Semi-Furnished,Street,Sobha,2004,2,411379,7092438,Villa
JLT,3275,6,5,"Parking, Gym, Maid Room, Pet Friendly, Pool, Balcony",Furnished,City,Azizi,2021,3,166095,4120487,Villa
Downtown,3219,3,4,"Pet Friendly, Maid Room, Kids Area, Security",Semi-Furnished,Sea,Emaar,2017,1,186333,2742950,Townhouse
Palm Jumeirah,3041,4,5,"Gym, Security, Smart Home",Unfurnished,Street,Damac,2012,3,245837,3560710,Townhouse
JVC,933,1,2,"Kids Area, Smart Home, Pool, Gym, Parking, Balcony",Furnished,City,Emaar,2010,1,76057,1383464,Apartment
JLT,4261,5,5,"Maid Room, Kids Area, Balcony, Pool, Parking",Unfurnished,Street,Nakheel,2017,3,325665,6121574,Villa
Business Bay,870,1,1,"Security, Parking, Kids Area, Balcony, Pet Friendly, Gym",Semi-Furnished,Sea,Sobha,2011,3,53698,999354,Apartment
Dubai Marina,2103,2,2,"Balcony, Security, Pool",Furnished,None,Damac,2018,3,167578,2914079,Townhouse
JVC,1568,1,1,"Balcony, Smart Home, Kids Area",Furnished,City,Emaar,2009,3,101665,2328585,Apartment
Arabian Ranches,617,2,1,"Pool, Smart Home, Pet Friendly",Unfurnished,Street,Sobha,2020,2,29134,725199,Apartment
JVC,4355,5,6,"Balcony, Gym, Pet Friendly, Kids Area",Semi-Furnished,City,Emaar,2023,1,340681,5866865,Villa
Dubai Marina,764,1,1,"Gym, Balcony, Pool",Semi-Furnished,Street,Damac,2020,3,30793,629007,Apartment
The Springs,3770,4,4,"Kids Area, Balcony, Smart Home",Semi-Furnished,Street,Sobha,2008,3,225460,5279284,Villa
The Springs,3057,2,2,"Pool, Gym, Security, Parking, Balcony, Maid Room",Unfurnished,Park,Sobha,2016,3,188111,4424168,Townhouse
Palm Jumeirah,1378,2,1,"Security, Balcony, Maid Room, Smart Home",Semi-Furnished,None,Emaar,2017,1,109465,1975833,Apartment
The Springs,1351,3,4,"Kids Area, Security, Smart Home, Gym, Pet Friendly",Furnished,Sea,Meraas,2021,2,51820,1139760,Apartment
The Springs,1252,3,3,"Smart Home, Maid Room, Security, Parking, Kids Area",Furnished,Park,Nakheel,2002,3,88877,1860157,Apartment
Dubai Marina,436,1,1,"Gym, Parking, Kids Area",Semi-Furnished,Street,Meraas,2012,3,37276,642072,Apartment
Palm Jumeirah,1663,2,3,"Security, Pool, Smart Home, Pet Friendly, Gym, Kids Area",Furnished,Sea,Meraas,2006,1,85766,1442458,Apartment
Business Bay,1682,3,2,"Security, Smart Home, Pool",Semi-Furnished,Street,Emaar,2003,1,148675,2391690,Apartment
Palm Jumeirah,2765,2,2,"Balcony, Security, Smart Home, Maid Room",Furnished,City,Emaar,2003,3,241240,4555695,Townhouse
The Springs,3309,4,5,"Gym, Smart Home, Balcony, Pet Friendly, Security",Unfurnished,None,Meraas,2015,1,279848,5010786,Townhouse
The Springs,1533,1,1,"Smart Home, Pool, Balcony, Security, Parking, Pet Friendly",Unfurnished,Street,Emaar,2005,2,106192,1963722,Apartment
Palm Jumeirah,849,3,4,"Smart Home, Parking, Maid Room, Kids Area, Balcony",Semi-Furnished,City,Sobha,2005,3,44632,735036,Apartment
Dubai Marina,3028,4,3,"Smart Home, Pool, Pet Friendly, Balcony",Semi-Furnished,City,Nakheel,2006,3,103989,2564865,Villa
JLT,724,1,2,"Pool, Kids Area, Balcony",Furnished,None,Nakheel,2003,3,30387,636596,Apartment
Arabian Ranches,5651,3,4,"Parking, Pool, Kids Area, Gym, Balcony",Semi-Furnished,Sea,Emaar,2019,3,611740,8940765,Villa
JVC,742,3,2,"Kids Area, Parking, Maid Room, Smart Home",Unfurnished,Street,Azizi,2015,3,46241,1036124,Apartment
Arabian Ranches,682,1,1,"Pet Friendly, Gym, Pool, Balcony, Parking, Security",Unfurnished,Park,Emaar,2008,2,45506,867612,Apartment
Business Bay,1943,3,3,"Parking, Pet Friendly, Balcony, Smart Home",Semi-Furnished,None,Meraas,2011,1,129240,2048044,Apartment
Dubai Marina,1044,2,1,"Gym, Pet Friendly, Smart Home, Maid Room, Pool, Kids Area",Unfurnished,None,Damac,2013,2,89741,1470605,Apartment
JLT,3784,5,4,"Maid Room, Parking, Kids Area, Balcony, Pet Friendly",Unfurnished,Park,Azizi,2019,3,334748,5494508,Villa
The Springs,3735,3,2,"Pet Friendly, Parking, Security, Maid Room, Smart Home",Furnished,Sea,Azizi,2017,2,309492,4935189,Villa
Downtown,1505,3,3,"Security, Pet Friendly, Maid Room, Gym",Unfurnished,Sea,Damac,2008,3,72763,1664529,Apartment
Dubai Marina,1572,3,2,"Kids Area, Balcony, Pet Friendly, Maid Room, Security, Pool",Semi-Furnished,City,Damac,2021,3,80473,1820710,Apartment
The Springs,907,1,1,"Kids Area, Smart Home, Gym, Pool",Unfurnished,Street,Sobha,2002,1,45327,680027,Apartment
Palm Jumeirah,559,2,3,"Maid Room, Pet Friendly, Smart Home, Parking, Security, Balcony",Unfurnished,Street,Sobha,2022,2,37727,718523,Apartment
Downtown,660,2,3,"Parking, Pool, Kids Area, Smart Home, Balcony, Security",Furnished,Park,Azizi,2011,1,40743,779644,Apartment
Dubai Marina,993,1,2,"Pool, Kids Area, Parking, Pet Friendly",Semi-Furnished,City,Sobha,2000,1,46613,808015,Apartment
JVC,2424,3,2,"Smart Home, Gym, Maid Room, Security",Semi-Furnished,Sea,Emaar,2013,2,189622,3328295,Townhouse
Arabian Ranches,4446,4,3,"Smart Home, Maid Room, Pool, Kids Area, Parking, Gym",Unfurnished,None,Sobha,2012,1,379248,7559286,Villa
JVC,2707,4,4,"Parking, Gym, Security",Unfurnished,City,Azizi,2020,1,166331,3908675,Townhouse
JVC,2868,2,2,"Pool, Parking, Gym",Semi-Furnished,Park,Nakheel,2022,3,229121,3568450,Townhouse
Arabian Ranches,492,2,1,"Pet Friendly, Parking, Balcony, Gym, Security",Semi-Furnished,Street,Damac,2002,1,41067,730043,Apartment
JLT,923,1,1,"Pet Friendly, Parking, Gym, Security, Smart Home",Furnished,Sea,Meraas,2001,2,46329,934031,Apartment
The Springs,2328,3,2,"Balcony, Maid Room, Pet Friendly",Unfurnished,None,Nakheel,2015,3,186305,3613963,Townhouse
Dubai Marina,1051,2,3,"Pool, Smart Home, Gym, Balcony, Maid Room, Pet Friendly",Semi-Furnished,None,Azizi,2021,1,53401,942802,Apartment
Downtown,1233,2,1,"Parking, Kids Area, Security, Pool",Furnished,None,Sobha,2017,2,58219,904323,Apartment
JLT,3185,3,2,"Security, Maid Room, Pet Friendly, Kids Area, Balcony, Parking",Unfurnished,Park,Azizi,2016,2,167430,2692868,Villa
Dubai Marina,1209,3,2,"Maid Room, Security, Balcony, Pool",Unfurnished,None,Damac,2021,2,101352,1460636,Apartment
Palm Jumeirah,1756,2,2,"Smart Home, Kids Area, Gym, Maid Room",Furnished,Sea,Azizi,2015,1,150185,2495549,Apartment
The Springs,1826,3,3,"Maid Room, Pool, Pet Friendly, Kids Area, Gym, Security",Unfurnished,Street,Meraas,2003,2,138391,2698154,Apartment
Arabian Ranches,1972,3,2,"Smart Home, Kids Area, Pool",Semi-Furnished,Sea,Nakheel,2023,1,155686,2576884,Apartment
Arabian Ranches,1656,3,3,"Balcony, Smart Home, Parking, Gym",Semi-Furnished,Street,Meraas,2022,3,65896,1436197,Apartment
The Springs,968,3,4,"Parking, Balcony, Kids Area, Pet Friendly, Security, Pool",Furnished,None,Nakheel,2023,1,52792,776282,Apartment
Business Bay,3292,3,2,"Maid Room, Security, Kids Area",Unfurnished,Street,Emaar,2013,3,288546,4849444,Townhouse
Arabian Ranches,1233,2,1,"Smart Home, Kids Area, Security, Gym, Pool, Maid Room",Semi-Furnished,Street,Azizi,2014,2,39796,868189,Apartment
Dubai Marina,3454,2,3,"Pet Friendly, Pool, Smart Home, Maid Room",Furnished,City,Damac,2002,3,201035,4922967,Townhouse
The Springs,3013,4,4,"Balcony, Pool, Maid Room, Smart Home, Parking",Furnished,City,Azizi,2007,1,278155,4747733,Townhouse
Dubai Marina,4871,3,2,"Gym, Pet Friendly, Parking",Unfurnished,Sea,Nakheel,2001,2,242834,4163676,Villa
The Springs,1787,1,2,"Security, Pet Friendly, Balcony",Furnished,None,Sobha,2007,3,139558,2376673,Apartment
Palm Jumeirah,1276,3,4,"Kids Area, Gym, Balcony",Unfurnished,City,Azizi,2006,1,57740,998025,Apartment
Dubai Marina,796,3,2,"Kids Area, Pet Friendly, Balcony, Maid Room, Security",Semi-Furnished,Park,Nakheel,2004,1,29398,595720,Apartment
The Springs,1734,2,2,"Parking, Smart Home, Maid Room, Security",Semi-Furnished,City,Damac,2000,3,122346,2027309,Apartment
JVC,1545,1,1,"Balcony, Maid Room, Kids Area, Pool, Gym",Semi-Furnished,Park,Meraas,2015,3,104619,1936615,Apartment
Arabian Ranches,2959,3,4,"Pet Friendly, Kids Area, Pool, Gym, Balcony",Furnished,Street,Nakheel,2000,3,141997,3027131,Townhouse
Business Bay,1904,2,3,"Balcony, Pet Friendly, Pool, Gym, Parking, Kids Area",Furnished,City,Emaar,2017,1,82463,1549706,Apartment
Arabian Ranches,460,1,1,"Parking, Balcony, Maid Room, Kids Area, Pool",Semi-Furnished,None,Nakheel,2005,1,21538,329909,Apartment
Dubai Marina,1787,1,1,"Kids Area, Balcony, Parking",Semi-Furnished,Park,Damac,2011,3,83481,1495875,Apartment
The Springs,1933,2,1,"Balcony, Maid Room, Security, Smart Home",Unfurnished,City,Damac,2019,2,162596,3434905,Townhouse
JVC,4905,4,5,"Parking, Kids Area, Pool, Gym, Maid Room",Furnished,None,Azizi,2015,1,476003,7491399,Villa
Dubai Marina,1194,3,4,"Smart Home, Maid Room, Pool, Parking, Kids Area",Unfurnished,Street,Meraas,2015,2,56820,1092114,Apartment
JVC,815,2,1,"Balcony, Security, Maid Room, Pet Friendly, Smart Home, Pool",Semi-Furnished,City,Azizi,2002,1,51809,1060558,Apartment
Arabian Ranches,484,2,3,"Pet Friendly, Smart Home, Balcony, Maid Room, Kids Area",Semi-Furnished,Street,Damac,2008,2,18550,348370,Apartment
JLT,3970,3,3,"Security, Balcony, Gym",Furnished,Sea,Damac,2001,3,182276,3971217,Villa
Arabian Ranches,1926,3,3,"Parking, Security, Gym, Maid Room",Semi-Furnished,City,Sobha,2012,3,101530,2515827,Apartment
Downtown,2266,2,3,"Smart Home, Balcony, Security, Pet Friendly",Unfurnished,Street,Meraas,2014,2,178171,3607279,Townhouse
Business Bay,1829,2,1,"Smart Home, Gym, Parking, Pool, Security, Kids Area",Semi-Furnished,Sea,Sobha,2021,2,93452,1777527,Apartment
The Springs,5328,5,5,"Gym, Parking, Pool",Semi-Furnished,None,Meraas,2019,3,378639,7320025,Villa
The Springs,1200,1,2,"Balcony, Smart Home, Gym, Parking, Security, Maid Room",Unfurnished,City,Emaar,2005,1,67444,1487890,Apartment
Palm Jumeirah,807,1,1,"Balcony, Maid Room, Parking, Kids Area, Security",Furnished,Street,Emaar,2011,3,28489,572032,Apartment
The Springs,626,1,2,"Smart Home, Pool, Balcony, Maid Room, Kids Area, Security",Semi-Furnished,Street,Meraas,2021,2,29640,517717,Apartment
JLT,1429,3,4,"Security, Balcony, Gym, Pool, Smart Home, Pet Friendly",Semi-Furnished,None,Nakheel,2016,2,135472,2040957,Apartment
Palm Jumeirah,480,3,2,"Smart Home, Kids Area, Maid Room, Pet Friendly, Parking",Semi-Furnished,None,Nakheel,2013,1,23702,404957,Apartment
The Springs,1749,1,2,"Pet Friendly, Gym, Pool",Furnished,City,Meraas,2017,2,90602,2157086,Apartment
Business Bay,2642,4,3,"Pool, Maid Room, Security, Parking, Balcony",Semi-Furnished,Park,Damac,2006,3,91049,2231526,Townhouse
Palm Jumeirah,1927,2,1,"Gym, Maid Room, Parking, Smart Home, Pool, Pet Friendly",Unfurnished,Street,Sobha,2014,1,88142,1476156,Apartment
Palm Jumeirah,971,1,1,"Pool, Parking, Smart Home",Furnished,None,Meraas,2012,1,46549,739968,Apartment
JLT,1133,1,1,"Maid Room, Balcony, Smart Home",Unfurnished,Sea,Meraas,2016,3,83340,1393626,Apartment
Dubai Marina,1031,2,1,"Gym, Pet Friendly, Smart Home",Furnished,Park,Damac,2007,1,41966,797075,Apartment
JVC,793,3,4,"Balcony, Pool, Pet Friendly",Unfurnished,Park,Meraas,2005,1,35397,818807,Apartment
Arabian Ranches,1683,1,2,"Maid Room, Pet Friendly, Balcony, Gym",Furnished,Park,Emaar,2011,2,73507,1411864,Apartment
Arabian Ranches,835,2,1,"Security, Kids Area, Gym",Furnished,Park,Sobha,2009,3,64012,918216,Apartment
Downtown,594,3,3,"Parking, Kids Area, Pool, Smart Home, Maid Room, Balcony",Furnished,City,Emaar,2019,3,34809,629122,Apartment
Business Bay,1843,1,1,"Pool, Security, Maid Room",Unfurnished,Street,Nakheel,2019,1,70625,1378450,Apartment
JLT,1169,1,2,"Balcony, Smart Home, Kids Area",Semi-Furnished,Park,Damac,2010,3,64017,1554275,Apartment
The Springs,3681,3,2,"Kids Area, Balcony, Pool, Security, Gym",Unfurnished,Park,Meraas,2022,3,249080,3763616,Villa
Arabian Ranches,1689,1,1,"Pool, Balcony, Gym, Kids Area, Maid Room, Security",Furnished,Sea,Nakheel,2018,3,156665,2305445,Apartment
Business Bay,1272,3,3,"Parking, Balcony, Pool, Smart Home, Pet Friendly",Unfurnished,Park,Damac,2009,3,79538,1346560,Apartment
JLT,2785,2,2,"Pet Friendly, Parking, Balcony, Maid Room, Kids Area, Security",Furnished,Street,Emaar,2024,2,145267,3418301,Townhouse
JLT,712,3,4,"Security, Pet Friendly, Balcony, Parking",Semi-Furnished,City,Sobha,2017,3,38612,772288,Apartment
Palm Jumeirah,788,1,1,"Smart Home, Pet Friendly, Balcony, Maid Room, Parking",Semi-Furnished,Street,Damac,2020,3,39697,596506,Apartment
Dubai Marina,1558,1,1,"Security, Kids Area, Maid Room, Smart Home, Balcony, Parking",Unfurnished,Sea,Meraas,2012,2,94897,2007531,Apartment
JVC,2540,4,5,"Parking, Security, Smart Home",Semi-Furnished,Park,Damac,2007,3,209632,3500988,Townhouse
Downtown,1978,1,2,"Pet Friendly, Pool, Security, Smart Home, Balcony, Kids Area",Semi-Furnished,City,Meraas,2009,3,174236,2915862,Apartment
The Springs,1903,2,3,"Pool, Kids Area, Pet Friendly",Furnished,City,Meraas,2006,3,95431,1937969,Apartment
Downtown,1803,2,1,"Maid Room, Pet Friendly, Kids Area, Parking, Balcony, Pool",Furnished,City,Nakheel,2022,1,81801,1799431,Townhouse
Dubai Marina,835,1,1,"Parking, Balcony, Maid Room",Semi-Furnished,Street,Meraas,2019,1,52386,1164565,Apartment
JLT,655,2,1,"Gym, Balcony, Smart Home, Pet Friendly, Maid Room",Furnished,Sea,Damac,2024,1,51394,807128,Apartment
JVC,1469,1,1,"Smart Home, Maid Room, Pet Friendly, Parking, Security",Semi-Furnished,City,Damac,2021,2,142095,2202847,Apartment
Arabian Ranches,4050,3,3,"Pool, Gym, Balcony, Kids Area, Pet Friendly",Unfurnished,Park,Emaar,2019,1,327050,6759471,Villa
Business Bay,1666,3,4,"Maid Room, Pet Friendly, Kids Area, Pool, Gym, Parking",Furnished,City,Emaar,2023,2,97291,2069744,Apartment
Palm Jumeirah,1654,1,1,"Smart Home, Pool, Kids Area, Balcony, Parking, Maid Room",Unfurnished,Park,Azizi,2018,3,80023,1825535,Apartment
Dubai Marina,1778,3,3,"Smart Home, Pool, Balcony, Kids Area",Unfurnished,Park,Nakheel,2006,1,138480,2316026,Apartment
Dubai Marina,1865,1,1,"Pet Friendly, Security, Pool, Kids Area, Parking",Unfurnished,Street,Meraas,2003,3,84505,1508048,Apartment
Palm Jumeirah,1816,2,1,"Kids Area, Pet Friendly, Maid Room",Unfurnished,Street,Meraas,2020,3,142064,2674965,Apartment
Business Bay,636,2,1,"Pool, Kids Area, Smart Home",Unfurnished,Park,Meraas,2003,3,41479,632304,Apartment
The Springs,403,2,1,"Pet Friendly, Maid Room, Parking, Smart Home",Unfurnished,Park,Azizi,2021,3,20413,472566,Apartment
JVC,1343,2,1,"Balcony, Smart Home, Kids Area, Maid Room, Pool",Unfurnished,City,Nakheel,2023,3,120095,1852402,Apartment
JVC,1032,3,4,"Security, Smart Home, Kids Area",Furnished,Street,Damac,2022,2,49577,770955,Apartment
Downtown,2231,4,3,"Parking, Smart Home, Kids Area",Semi-Furnished,City,Meraas,2005,1,150730,3007260,Townhouse
Palm Jumeirah,3351,3,3,"Maid Room, Security, Parking",Unfurnished,Park,Meraas,2017,2,149451,3006917,Townhouse
JVC,3253,3,3,"Parking, Smart Home, Kids Area, Balcony",Semi-Furnished,Park,Nakheel,2006,3,192832,3238865,Townhouse
Arabian Ranches,4857,3,4,"Pet Friendly, Maid Room, Kids Area, Pool",Furnished,Sea,Damac,2015,1,368868,8475771,Villa
Arabian Ranches,704,3,4,"Balcony, Gym, Smart Home, Pool, Maid Room, Security",Semi-Furnished,None,Nakheel,2020,3,42783,704209,Apartment
Dubai Marina,5851,6,6,"Kids Area, Gym, Smart Home, Pet Friendly, Maid Room, Security",Semi-Furnished,None,Nakheel,2000,3,459336,8033317,Villa
JLT,2887,4,4,"Pet Friendly, Security, Smart Home, Pool, Gym, Parking",Furnished,None,Nakheel,2012,3,134143,2366607,Villa
Palm Jumeirah,1597,3,4,"Balcony, Pool, Smart Home",Unfurnished,Park,Emaar,2017,2,93527,2140635,Apartment
Downtown,1736,1,1,"Gym, Pool, Maid Room, Security, Parking",Semi-Furnished,None,Nakheel,2013,3,59572,1215318,Apartment
JLT,4322,4,5,"Kids Area, Maid Room, Security, Pet Friendly, Smart Home, Pool",Unfurnished,Sea,Meraas,2001,1,160024,3616364,Villa
Business Bay,3033,4,3,"Security, Parking, Kids Area, Maid Room, Balcony",Furnished,None,Damac,2008,2,197430,4397149,Townhouse
Palm Jumeirah,920,3,3,"Maid Room, Balcony, Gym, Kids Area",Unfurnished,City,Meraas,2022,3,40203,785773,Apartment
Downtown,714,2,2,"Gym, Balcony, Maid Room, Parking, Pet Friendly, Security",Unfurnished,None,Sobha,2002,2,44039,865469,Apartment
Arabian Ranches,3099,4,4,"Pool, Pet Friendly, Maid Room",Semi-Furnished,Sea,Emaar,2005,3,233008,4736286,Villa
Palm Jumeirah,1114,3,4,"Maid Room, Security, Smart Home, Gym, Kids Area",Furnished,City,Sobha,2005,2,90391,1498182,Apartment
The Springs,661,2,1,"Parking, Maid Room, Balcony, Security",Unfurnished,City,Emaar,2023,3,59879,978015,Apartment
Business Bay,4213,6,5,"Kids Area, Smart Home, Security, Parking, Maid Room, Balcony",Unfurnished,Park,Damac,2020,1,384264,7362026,Villa
Arabian Ranches,3099,2,1,"Pool, Parking, Security, Gym",Furnished,City,Azizi,2015,1,287898,5460953,Townhouse
Downtown,1454,3,4,"Pet Friendly, Gym, Security",Furnished,Sea,Meraas,2013,3,82543,1639326,Apartment
JVC,3190,4,3,"Kids Area, Parking, Security",Semi-Furnished,Sea,Sobha,2015,2,213897,3095843,Villa
Arabian Ranches,2311,4,3,"Security, Smart Home, Parking, Pet Friendly, Pool",Furnished,None,Sobha,2006,2,274819,3995970,Townhouse
